country,id,series,shot,year,month,day,time,site,lat,lon,height,groundheight,type,purpose,yieldmin,yieldmax,yieldest,yield,seismic,crater
usa,27,Tumbler,Charlie,1952,4,22,17:30:10,NTS-YF,37.0844,-116.0203,1050,,A-AD,WR,31,,,31,,
usa,28,Snapper,Dog,1952,5,1,16:29:59,NTS-YF,37.0842,-116.0203,320,,A-AD,WR,19,,,19,,
usa,29,Snapper,Easy,1952,5,7,12:14:59,NTS-YF,37.0531,-116.1056,90,,AS-T,WR,12,,,12,,
usa,30,Snapper,Fox,1952,5,25,12:00:00,NTS-YF,37.0956,-116.1056,90,,AS-T,WR,11,,,11,,
usa,31,Snapper,George,1952,6,1,11:55:00,NTS-YF,37.0481,-116.0211,90,,AS-T,WR,15,,,15,,
usa,32,Snapper,How,1952,6,5,11:55:00,NTS-YF,37.1386,-116.1178,90,,AS-T,WR,14,,,14,,
usa,33,Ivy,Mike,1952,10,31,19:14:59,EN,11.2372,162.1964,10,,AS,WR,10400,,,10400,,1902
usa,34,Ivy,King,1952,11,15,23:30:00,EN,11.5622,162.3525,450,,A-AD,WR,500,,,500,,
usa,35,Upshot-Knothole,Annie,1953,3,17,13:20:00,NTS-YF,37.0478,-116.0211,90,,AS-T,WR,16,,,16,,
usa,36,Upshot-Knothole,Nancy,1953,3,24,13:10:00,NTS-YF,37.0956,-116.1028,90,,AS-T,WR,24,,,24,,
usa,37,Upshot-Knothole,Ruth,1953,3,31,13:00:00,NTS-YF,37.0828,-116.0239,90,,AS-T,WR,0.2,,,0.2,,
usa,38,Upshot-Knothole,Dixie,1953,4,6,15:29:38,NTS-YF,37.0847,-116.018,1830,,A-AD,WR,11,,,11,,
usa,39,Upshot-Knothole,Ray,1953,4,11,12:45:00,NTS-YF,37.0989,-116.0925,30,,AS-T,WR,0.2,,,0.2,,
usa,40,Upshot-Knothole,Badger,1953,4,18,12:35:00,NTS-YF,37.1383,-116.1178,90,,AS-T,WR,23,,,23,,
usa,41,Upshot-Knothole,Simon,1953,4,25,12:30:00,NTS-YF,37.0531,-116.1028,90,,AS-T,WR,43,,,43,,
usa,42,Upshot-Knothole,Encore,1953,5,8,15:29:55,NTS-FF,36.8,-115.9289,740,,A-AD,WE,27,,,27,,
usa,43,Upshot-Knothole,Harry,1953,5,19,12:05:00,NTS-YF,37.0403,-116.0253,90,,AS-T,WR,32,,,32,,
usa,44,Upshot-Knothole,Grable,1953,5,25,15:30:00,NTS-FF,36.7931,-115.9147,160,,A,WR,15,,,15,,
usa,45,Upshot-Knothole,Climax,1953,6,4,11:14:57,NTS-YF,37.0875,-116.0183,410,,A-AD,WR,61,,,61,,
usa,46,Castle,Bravo,1954,2,28,18:45:00,BK,11.6908,165.2736,2,,AS,WR,15000,,,15000,,1984
usa,47,Castle,Romeo,1954,3,26,18:30:00,BK,11.6908,165.273,4.3,,AW-BG,WR,11000,,,11000,,
usa,48,Castle,Koon,1954,4,6,18:20:00,BK,11.4967,165.3675,2.9,,AS,WR,110,,,110,,302
usa,49,Castle,Union,1954,4,25,18:10:01,BK,11.6664,165.3872,4,,AW-BG,WR,6900,,,6900,,915
usa,50,Castle,Yankee,1954,5,4,18:10:00,BK,11.6656,165.3869,4.3,,AW-BG,WR,13500,,,13500,,
usa,51,Castle,Nectar,1954,5,13,18:20:00,EN,11.6705,162.1964,4.3,,AW-BG,WR,1690,,,1690,,
usa,52,Teapot,Wasp,1955,2,18,19:59:59,NTS-YF,37.0867,-116.0219,230,,A-AD,WE,1,,,1,,
usa,53,Teapot,Moth,1955,2,22,13:45:00,NTS-YF,37.0478,-116.0211,90,,AS-T,WR,2,,,2,,
usa,54,Teapot,Tesla,1955,3,1,13:30:00,NTS-YF,37.1255,-116.0475,90,,AS-T,WR,7,,,7,,
usa,55,Teapot,Turk,1955,3,7,13:20:00,NTS-YF,37.1383,-116.1175,150,,AS-T,WR,43,,,43,,
usa,56,Teapot,Hornet,1955,3,12,13:20:00,NTS-YF,37.0403,-116.0253,90,,AS-T,WR,4,,,4,,
usa,57,Teapot,Bee,1955,3,22,13:05:00,NTS-YF,37.0947,-116.0239,150,,AS-T,WR,8,,,8,,
usa,59,Teapot,Apple-1,1955,3,29,12:55:00,NTS-YF,37.0956,-116.1028,150,,AS-T,WR,14,,,14,,
usa,60,Teapot,Wasp Prime,1955,3,29,17:59:55,NTS-YF,37.0867,-116.0578,230,,A-AD,WR,3,,,3,,
usa,61,Teapot,HA (High Altitude),1955,4,6,18:00:04,NTS-YF,37.0286,-116.0578,11160,,A-AD,WE,3,,,3,,
usa,62,Teapot,Post,1955,4,9,12:30:00,NTS-YF,37.1222,-116.0344,90,,AS-T,WR,2,,,2,,
usa,63,Teapot,MET (Military Effects T,1955,4,15,19:15:00,NTS-FF,36.7981,-115.9289,120,,AS-T,WE,22,,,22,,
usa,64,Teapot,Apple-2,1955,5,5,12:10:00,NTS-YF,37.0531,-116.1025,150,,AS-T,WR,29,,,29,,
usa,66,Teapot,Zucchini,1955,5,15,12:00:00,NTS-YF,37.0947,-116.0239,150,,AS-T,WR,28,,,28,,
usa,67,Project 56,Project 56 No. 1,1955,11,1,22:10,NTS-FF,36.9,-115.95,0,,AS,SE,0,,,0,,
usa,68,Project 56,Project 56 No. 2,1955,11,3,21:15,NTS-FF,36.9,-115.95,0,,AS,SE,0,,,0,,
usa,69,Project 56,Project 56 No. 3,1955,11,5,19:55,NTS-FF,36.9,-115.95,0,,AS,SE,0,,,0,,
usa,70,Project 56,Project 56 No. 4,1956,1,18,21:30,NTS-FF,36.9,-115.95,0,,AS,SE,0,20,,0.01,,
usa,71,Redwing,Lacrosse,1956,5,4,18:25:30,EN,11.5578,162.355,5,,AS,WR,40,,,40,,122
usa,72,Redwing,Cherokee,1956,5,20,17:50:39,BK,11.6683,165.3942,1320,,A-AD,WR,3800,,,3800,,
usa,73,Redwing,Zuni,1956,5,27,17:56:00,BK,11.4967,165.3692,3,,AS,WR,3500,,,3500,,710
usa,74,Redwing,Yuma,1956,5,27,19:56,EN,11.62,162.33,60,,AS-T,WR,0.19,,,0.19,,
usa,75,Redwing,Erie,1956,5,30,18:15:29,EN,11.5444,162.3644,90,,AS-T,WR,14.9,,,14.9,,
usa,76,Redwing,Seminole,1956,6,6,0:55:30,EN,11.6764,162.2222,2,,AS,WR,13.7,,,13.7,,201
usa,77,Redwing,Flathead,1956,6,11,18:26:00,BK,11.6,165.4514,4.5,,AW-BG,WR,365,,,365,,
usa,78,Redwing,Blackfoot,1956,6,11,18:26:00,EN,11.5511,162.3586,60,,AS-T,WR,8,,,8,,
usa,79,Redwing,Kickapoo,1956,6,13,23:26,EN,11.62,162.33,90,,AS-T,WR,1.49,,,1.49,,
usa,80,Redwing,Osage,1956,6,16,1:13:53,EN,11.5467,162.3608,210,,A-AD,WR,1.7,,,1.7,,
usa,81,Redwing,Inca,1956,6,21,21:26,EN,11.63,162.35,60,,AS-T,WR,15.2,,,15.2,,
usa,82,Redwing,Dakota,1956,6,25,18:06:00,BK,11.6028,165.4514,,,AW-BG,WR,1100,,,1100,,
usa,83,Redwing,Mohawk,1956,7,2,18:06,EN,11.63,162.31,90,,AS-T,WR,360,,,360,,408
usa,84,Redwing,Apache,1956,7,8,18:06:00,EN,11.6714,162.2003,,,AW-BG,WR,1850,,,1850,,
usa,85,Redwing,Navajo,1956,7,10,17:56:00,BK,11.6633,165.3872,6,,AW-BG,WR,4500,,,4500,,
usa,86,Redwing,Tewa,1956,7,20,17:46:00,BK,11.6739,165.3394,4.5,,AW-BG,WR,5000,,,5000,,1220
usa,87,Redwing,Huron,1956,7,21,18:16:00,EN,11.6719,162.3692,,,AW-BG,WR,250,,,250,,
usa,88,Project 57,Project 57 No. 1,1957,4,24,14:27,NAFR,37.2,-116.1,,,AS,SE,0,,,0,,
usa,89,Plumbbob,Boltzmann,1957,5,28,11:55:00,NTS-YF,37.0947,-116.0236,150,,AS-T,WR,12,,,12,,
usa,90,Plumbbob,Franklin,1957,6,2,11:55:00,NTS-YF,37.0478,-116.0211,90,,AS-T,WR,0.14,,,0.14,,
usa,91,Plumbbob,Lassen,1957,6,5,11:45:00,NTS-YF,37.1347,-116.0408,150,,A-B,WR  0,0.0005,,,0.0005,,
usa,92,Plumbbob,Wilson,1957,6,18,11:45:00,NTS-YF,37.1347,-116.0408,150,,A-B,WR,10,,,10,,
usa,93,Plumbbob,Priscilla,1957,6,24,13:30:00,NTS-FF,36.7981,-115.9289,210,,A-B,WR,37,,,37,,
usa,94,Plumbbob,Coulomb-A,1957,7,1,17:30,NTS-YF,37.04,-116.03,0,,AS,SE,0,,,0,,
usa,95,Plumbbob,Hood,1957,7,5,11:40:00,NTS-YF,37.1347,-116.0408,460,,A-B,WR,74,,,74,,
usa,96,Plumbbob,Diablo,1957,7,15,11:30:00,NTS-YF,37.1503,-116.1086,150,,AS-T,WR,17,,,17,,
usa,97,Plumbbob,John,1957,7,19,14:00:05,NTS-YF,37.1606,-116.0531,9140,,A-R,WE,2,,,2,,
usa,98,Plumbbob,Kepler,1957,7,24,11:50:00,NTS-YF,37.095,-116.103,150,,AS-T,WR,10,,,10,,
usa,99,Plumbbob,Owens,1957,7,25,13:30:00,NTS-YF,37.1347,-116.0408,150,,A-B,WR,9.7,,,9.7,,
usa,101,Plumbbob,Stokes,1957,8,7,12:25:00,NTS-YF,37.0867,-116.0236,460,,A-B,WR,19,,,19,,
usa,103,Plumbbob,Shasta,1957,8,18,12:00:00,NTS-YF,37.128,-116.1064,150,,AS-T,WR,17,,,17,,
usa,104,Plumbbob,Doppler,1957,8,23,12:30:00,NTS-YF,37.0867,-116.0236,460,,A-B,WR,11,,,11,,
usa,106,Plumbbob,Franklin Prime,1957,8,30,12:40:00,NTS-YF,37.0867,-116.0236,230,,A-B,WR,4.7,,,4.7,,
usa,107,Plumbbob,Smoky,1957,8,31,12:30:00,NTS-YF,37.1872,-116.0678,210,1365,AS-T,WR,44,,,44,,
usa,108,Plumbbob,Galileo,1957,9,2,12:40:00,NTS-YF,37.0531,-116.1025,150,,AS-T,WR,11,,,11,,
usa,109,Plumbbob,Wheeler,1957,9,6,12:45:00,NTS-YF,37.1347,-116.0408,150,,A-B,WR,0.197,,,0.197,,
usa,110,Plumbbob,Coulomb-B,1957,9,6,20:05:01,NTS-YF,37.043,-116.026,0,,AS,SE,0.3,,,0.3,,
usa,111,Plumbbob,Laplace,1957,9,8,13:00:00,NTS-YF,37.0867,-116.0236,230,,A-B,WR,1,,,1,,
usa,112,Plumbbob,Fizeau,1957,9,14,16:45:00,NTS-YF,37.0336,-116.0314,150,,AS-T,WR,11,,,11,,
usa,113,Plumbbob,Newton,1957,9,16,12:50:00,NTS-YF,37.0867,-116.0236,460,,A-B,WR,12,,,12,,
usa,115,Plumbbob,Whitney,1957,9,23,12:30:00,NTS-YF,37.1383,-116.1175,150,,AS-T,WR,19,,,19,,
usa,116,Plumbbob,Charleston,1957,9,28,13:00:00,NTS-YF,37.1347,-116.0408,460,,A-B,WR,12,,,12,,
usa,117,Plumbbob,Morgan,1957,10,7,13:00:00,NTS-YF,37.1347,-116.0408,150,,A-B,WR,8,,,8,,
usa,119,Project 58,Coulomb-C,1957,12,9,20:00,NTS-YF,37.04,-116.03,0,,AS,SE,0.5,,,0.5,,
usa,122,Hardtack I,Yucca,1958,4,28,2:40:00,#NAME?,12.6167,168.025,26210,,A-B,WE,1.7,,,1.7,,
usa,123,Hardtack I,Cactus,1958,5,5,18:15:00,EN,11.5564,162.3542,1,,AS,WR,18,,,18,,105
usa,124,Hardtack I,Fir,1958,5,11,17:50:00,BK,11.6908,165.2736,3,,AW-BG,WR,1360,,,1360,,
usa,125,Hardtack I,Butternut,1958,5,11,18:15:00,EN,11.5411,162.3506,3,,AW-BG,WR,81,,,81,,
usa,126,Hardtack I,Koa,1958,5,12,18:30:00,EN,11.675,162.2056,0.81,,AS,WR,1370,,,1370,,1289
usa,128,Hardtack I,Holly,1958,5,20,18:30:00,EN,11.5439,162.3561,4,,AW-BG,WR,5.9,,,5.9,,
usa,129,Hardtack I,Nutmeg,1958,5,21,21:20:00,BK,11.4961,165.3708,3,,AW-BG,WR,25.1,,,25.1,,
usa,130,Hardtack I,Yellowwood,1958,5,26,2:00:00,EN,11.6603,162.2253,3,,AW-BG,WR,330,,,330,,
usa,131,Hardtack I,Magnolia,1958,5,26,18:00:00,EN,11.5428,162.3539,4,,AW-BG,WR,57,,,57,,
usa,132,Hardtack I,Tobacco,1958,5,30,2:15:00,EN,11.6633,162.23,2.7,,AW-BG,WR,11.6,,,11.6,,
usa,133,Hardtack I,Sycamore,1958,5,31,3:00:00,BK,11.6908,165.2736,3,,AW-BG,WR,92,,,92,,
usa,134,Hardtack I,Rose,1958,6,2,18:45:00,EN,11.5411,162.3517,4.5,,AW-BG,WR,15,,,15,,
usa,136,Hardtack I,Maple,1958,6,10,17:30:00,BK,11.6872,165.415,3,,AW-BG,WR,213,,,213,,
usa,137,Hardtack I,Aspen,1958,6,14,17:30:00,BK,11.6908,165.2733,3,,AW-BG,WR,319,,,319,,
usa,138,Hardtack I,Walnut,1958,6,14,18:30:00,EN,11.6603,162.2253,2,,AW-BG,WR,1450,,,1450,,
usa,139,Hardtack I,Linden,1958,6,18,3:00:00,EN,11.5442,162.3564,2.5,,AW-BG,WR,11,,,11,,
usa,140,Hardtack I,Redwood,1958,6,27,17:30:00,BK,11.6872,165.415,3,,AW-BG,WR,412,,,412,,
usa,141,Hardtack I,Elder,1958,6,27,18:30:00,EN,11.6633,162.23,2.7,,AW-BG,WR,880,,,880,,
usa,142,Hardtack I,Oak,1958,6,28,19:30:00,EN,11.6078,162.1078,1.8,,AW-BG,WR,8900,,,8900,,1750
usa,143,Hardtack I,Hickory,1958,6,29,0:00:00,BK,11.4961,162.3708,3,,AW-BG,WR,14,,,14,,
usa,144,Hardtack I,Sequoia,1958,7,1,18:30:00,EN,11.5442,162.3564,2,,AW-BG,WR,5.2,,,5.2,,
usa,145,Hardtack I,Cedar,1958,7,2,17:30:00,BK,11.6908,165.2736,3.4,,AW-BG,WR,220,,,220,,
usa,146,Hardtack I,Dogwood,1958,7,5,18:30:00,EN,11.6633,162.23,3,,AW-BG,WR,397,,,397,,
usa,147,Hardtack I,Poplar,1958,7,12,3:30:00,BK,11.6881,165.2644,3,,AW-BG,WR,9300,,,9300,,
usa,148,Hardtack I,Scaevola,1958,7,14,4:00,EN,11.55,162.36,6,,AW-BG,SE,0,,,0,,
usa,149,Hardtack I,Pisonia,1958,7,17,23:00,EN,11.55,162.31,2,,AW-BG,WR,255,,,255,,
usa,150,Hardtack I,Juniper,1958,7,22,4:20:00,BK,11.4961,165.3708,3,,AW-BG,WR,65,,,65,,
usa,151,Hardtack I,Olive,1958,7,22,20:30:00,EN,11.6633,162.23,3,,AW-BG,WR,202,,,202,,
usa,152,Hardtack I,Pine,1958,7,26,20:30:00,EN,11.6561,162.2197,3,,AW-BG,WR,2000,,,2000,,
usa,153,Newsreel,Teak,1958,8,1,10:50:06,JO,16.7439,-169.5333,76800,,AH-R,WE,3800,,,3800,,
usa,154,Hardtack I,Quince,1958,8,6,2:15,EN,11.55,162.36,1,,AS,WR,0,,,0,,
usa,155,Newsreel,Orange,1958,8,12,10:30:09,JO,16.3583,-169.5356,43000,,AH-R,WE,3800,,,3800,,
usa,156,Hardtack I,Fig,1958,8,18,4:00,EN,11.55,162.36,0.5,,AS,WR,0.02,,,0.02,,3
usa,157,Argus,Argus I,1958,8,27,2:28,#NAME?,-38.5,-11.5,200000,,AX-R,WE,1,2,,1.5,,
usa,158,Argus,Argus II,1958,8,30,3:18,#NAME?,-49.5,-8.2,240000,,AX-R,WE,1,2,,1.5,,
usa,159,Argus,Argus III,1958,9,6,22:13,#NAME?,-48.5,-9.7,540000,,AX-R,WE,1,2,,1.5,,
usa,162,Hardtack II,Eddy,1958,9,19,14:00:00,NTS-YF,37.0867,-116.0236,150,,A-B,WR,0.083,,,0.083,,
usa,167,Hardtack II,Mora,1958,9,29,14:05:00,NTS-YF,37.0867,-116.0236,460,,A-B,WR,2,,,2,,
usa,168,Hardtack II,Hidalgo,1958,10,5,14:10:00,NTS-YF,37.0867,-116.0236,110,,A-B,SE,0.077,,,0.077,,
usa,171,Hardtack II,Quay,1958,10,10,14:30:00,NTS-YF,37.0947,-116.0236,30,,AS-T,WR,0.079,,,0.079,,
usa,172,Hardtack II,Lea,1958,10,13,13:20:00,NTS-YF,37.0867,-116.0236,460,,A-B,WR,1.4,,,1.4,,
usa,174,Hardtack II,Hamilton,1958,10,15,16:00:00,NTS-FF,36.8022,-115.9322,20,,AS-T,WR  0,0.0012,,,0.0012,,
usa,176,Hardtack II,Dona Ana,1958,10,16,14:20:00,NTS-YF,37.0867,-116.0236,150,,A-B,WR,0.037,,,0.037,,
usa,177,Hardtack II,Vesta,1958,10,17,23:00:00,NTS-YF,37.1225,-116.0347,0,,AS,SE,0.024,,,0.024,,
usa,178,Hardtack II,Rio Arriba,1958,10,18,14:25:00,NTS-YF,37.0411,-116.0258,20,,AS-T,WR,0.09,,,0.09,,
usa,180,Hardtack II,Socorro,1958,10,22,13:30:00,NTS-YF,37.0867,-116.0236,460,,A-B,WR,6,,,6,,
usa,181,Hardtack II,Wrangell,1958,10,22,16:50:00,NTS-FF,36.7981,-115.9289,460,,A-B,WR,0.115,,,0.115,,
usa,182,Hardtack II,Oberon,1958,10,22,20:30,NTS-YF,37.2,-116.1,8,,AS-T,SE,0,,,0,,
usa,183,Hardtack II,Rushmore,1958,10,22,23:40:00,NTS-YF,37.1347,-116.0408,150,,A-B,WR,0.188,,,0.188,,
usa,184,Hardtack II,Catron,1958,10,24,15:00:00,NTS-YF,37.0431,-116.0269,20,,AS-T,SE,0.021,,,0.021,,
usa,185,Hardtack II,Juno,1958,10,24,16:01:00,NTS-YF,37.1233,-116.0378,0,,AS,SE  0,0.0017,,,0.0017,,
usa,186,Hardtack II,Ceres,1958,10,26,4:00:00,NTS-YF,37.1814,-116.0686,10,,AS-T,SE  0,0.0007,,,0.0007,,
usa,187,Hardtack II,Sanford,1958,10,26,10:20:00,NTS-FF,36.7981,-115.9289,460,,A-B,WR,4.9,,,4.9,,
usa,188,Hardtack II,De Baca,1958,10,26,16:00:00,NTS-YF,37.0867,-116.0236,460,,A-B,WR,2.2,,,2.2,,
usa,189,Hardtack II,Chavez,1958,10,27,14:30,NTS-YF,37.05,-116,16,,AS-T,SE  0,0.0006,,,0.0006,,
usa,191,Hardtack II,Mazama,1958,10,29,11:20,NTS-YF,37.1,-116.05,15,,AS-T,WR,0,,,0,,
usa,192,Hardtack II,Humboldt,1958,10,29,14:45:00,NTS-YF,37.0478,-116.0247,10,,AS-T,WR  0,0.0078,,,0.0078,,
usa,193,Hardtack II,Santa Fe,1958,10,30,3:00:00,NTS-YF,37.0867,-116.0236,460,,A-B,WR,1.3,,,1.3,,
usa,194,Hardtack II,Ganymede,1958,10,30,11:00,NTS-YF,37.1,-116.05,0,,AS,SE,0,,,0,,
usa,196,Hardtack II,Titania,1958,10,30,20:34:00,NTS-YF,37.1772,-116.0692,10,,AS-T,SE  0,0.0002,,,0.0002,,
usa,228,Dominic I,Adobe,1962,4,25,15:46,LI-CH,1.6,-157.3,884,0,A-AD,WR,190,,,190,,
usa,229,Dominic I,Aztec,1962,4,27,16:02,LI-CH,1.6,-157.3,796,0,A-AD,WR,410,,,410,,
usa,231,Dominic I,Arkansas,1962,5,2,18:02,LI-CH,1.6,-157.3,1533,0,A-AD,WR,1090,,,1090,,
usa,232,Dominic I,Questa,1962,5,4,19:05,LI-CH,1.6,-157.3,1594,0,A-AD,WR,670,,,670,,
usa,233,Dominic I,Frigate Bird,1962,5,6,23:30,#NAME?,4.8333,-149.4167,3350,,A-R,WR,200,1000,600,600,,
usa,235,Dominic I,Yukon,1962,5,8,18:01,LI-CH,1.6,-157.3,878,0,A-AD,WR,100,,,100,,
usa,236,Dominic I,Mesilla,1962,5,9,17:01,LI-CH,1.6,-157.3,747,0,A-AD,WR,100,,,100,,
usa,238,Dominic I,Muskegon,1962,5,11,15:37,LI-CH,1.6,-157.3,913,0,A-AD,WR,50,,,50,,
usa,240,Dominic I,Encino,1962,5,12,17:03,LI-CH,1.6,-157.3,1679,0,A-AD,WR,500,,,500,,
usa,242,Dominic I,Swanee,1962,5,14,15:22,LI-CH,1.6,-157.3,896,0,A-AD,WR,97,,,97,,
usa,244,Dominic I,Chetco,1962,5,19,15:37,LI-CH,1.6,-157.3,2105,0,A-AD,WR,73,,,73,,
usa,246,Dominic I,Tanana,1962,5,25,16:09,LI-CH,1.6,-157.3,2752,0,A-AD,WR,2.6,,,2.6,,
usa,247,Dominic I,Nambe,1962,5,27,17:03,LI-CH,1.6,-157.3,2176,0,A-AD,WR,43,,,43,,
usa,250,Dominic I,Alma,1962,6,8,17:03,LI-CH,1.5,-157.2,2702,0,A-AD,WR,782,,,782,,
usa,251,Dominic I,Truckee,1962,6,9,15:37,LI-CH,1.6,-157.3,2125,0,A-AD,WR,210,,,210,,
usa,252,Dominic I,Yeso,1962,6,10,17:01,LI-CH,1.5,-157.2,2537,0,A-AD,WR,3000,,,3000,,
usa,253,Dominic I,Harlem,1962,6,12,15:37,LI-CH,1.5,-157.2,4160,0,A-AD,WR,1200,,,1200,,
usa,255,Dominic I,Rinconada,1962,6,15,16:01,LI-CH,1.5,-157.2,2775,0,A-AD,WR,800,,,800,,
usa,256,Dominic I,Dulce,1962,6,17,16:01,LI-CH,1.6,-157.3,2771,0,A-AD,WR,52,,,52,,
usa,257,Dominic I,Petit,1962,6,19,15:01,LI-CH,1.6,-157.3,4570,0,A-AD,WR,2.2,,,2.2,,
usa,259,Dominic I,Otowi,1962,6,22,16:01,LI-CH,1.6,-157.3,2746,0,A-AD,WR,81.5,,,81.5,,
usa,260,Dominic I,Bighorn,1962,6,27,15:19,LI-CH,1.3,-157.3,3600,0,A-AD,WR,7650,,,7650,,
usa,263,Dominic I,Bluestone,1962,6,30,15:21,LI-CH,1.5,-157.3,1518,0,A-AD,WR,1270,,,1270,,
usa,266,Sunbeam,Little Feller II,1962,7,7,19:00,NTS-18,37.12,-116.3,1,,AS,WE,0,20,,,,
usa,267,Fishbowl,Starfish Prime,1962,7,9,9:00,JO,17.2,-169.1,399000,,AX-R,WE,1400,,,1400,,
usa,268,Dominic I,Sunset,1962,7,10,16:33,LI-CH,1.6,-157.3,1500,0,A-AD,WR,1000,,,1000,,
usa,269,Dominic I,Pamlico,1962,7,11,15:37,LI-CH,1.4,-157.3,4370,0,A-AD,WR,3880,,,3880,,
usa,272,Sunbeam,Small Boy,1962,7,14,18:30,NTS-FF,36.8,-115.95,3,,AS-T,WE,0,20,,0.6,3.7,
usa,273,Sunbeam,Little Feller I,1962,7,17,17:00,NTS-18,37.11,-116.31,12,,AS,WE,0,20,,,,
usa,281,Dominic I,Androscoggin,1962,10,2,16:18,JO,14,-172,3130,0,A-AD,WR,75,,63,75,,
usa,283,Dominic I,Bumping,1962,10,6,16:03,JO,15,-169,3050,0,A-AD,WR,11.3,,11.9,11.3,,
usa,286,Dominic I,Chama,1962,10,18,16:01,JO,14,-169,3650,0,A-AD,WR,1590,,1700,1590,,
usa,289,Fishbowl,Checkmate,1962,10,20,7:30,JO,16,-169.5,147000,,AX-R,WE,0,20,,,,
usa,290,Fishbowl,Bluegill 3 Prime,1962,10,26,8:59,JO,16.9,-169.2,48200,,AH-R,WE,200,1000,,400,,
usa,292,Dominic I,Calamity,1962,10,27,15:46,JO,15,-169,3590,0,A-AD,WR,800,,780,800,,
usa,293,Dominic I,Housatonic,1962,10,30,16:02,JO,13.5,-172,3700,0,A-AD,WR,8300,,9960,8300,,
usa,294,Fishbowl,Kingfish,1962,11,1,11:10,JO,16.6,-169.4,96300,,AX-R,WE,200,1000,,400,,
usa,295,Fishbowl,Tightrope,1962,11,4,6:30,JO,17.1,-169.1,21000,,A-R,WE,0,20,,,,
usa,319,Roller Coaster,Double Tracks,1963,5,15,9:55,NAFR,37.2,-116.1,0,,AS,ST,0,,,0,,
usa,323,Roller Coaster,Clean Slate I,1963,5,25,11:17,NAFR,37.2,-116.1,0,,AS,ST,0,,,0,,
usa,325,Roller Coaster,Clean Slate II,1963,5,31,10:47,NAFR,37.154,-116.077,0,1306,AS,ST,0,,,0,,
usa,329,Roller Coaster,Clean Slate III,1963,6,9,10:30,NAFR,37.2,-116.1,0,,AS,ST,0,,,0,,
